Country/Region,Total_confirmed_cases,Total_deaths,Recovered_covid,Recovered_percentage,Death_percentage
Holy See,26807,0,26807,100.0,0.0
Honduras,302670683,15473906,287196777,94.8875438325819,5.112456167418104
Hungary,1142912051,60387390,1082524661,94.71635722563573,5.283642774364272
Iceland,82359288,170756,82188532,99.79266940724403,0.20733059275597426
India,29131119694,729842474,28401277220,97.49462951762091,2.505370482379097
Indonesia,3692406698,200671400,3491735298,94.56529530973134,5.434704690268656
Iran,4612422449,201270118,4411152331,95.63634683887994,4.363653161120064
Iraq,1609076462,38285834,1570790628,97.6206330212293,2.379366978770708
Ireland,801077962,10965392,790112570,98.63117043282237,1.3688295671776325
Israel,2221969354,15116036,2206853318,99.31970096829697,0.6802990317030269
Italy,10083161678,255873568,9827288110,97.46236769605432,2.537632303945687
Jamaica,82599171,3676012,78923159,95.54957761016753,4.45042238983246
Japan,7338211631,44743596,7293468035,99.3902656634897,0.6097343365103066
Jordan,991230386,18910294,972320092,98.09224028368315,1.9077597163168485
Kazakhstan,864952333,24307816,840644517,97.18969299548672,2.8103070045132763
Kenya,221315836,7854010,213461826,96.45122096007626,3.5487790399237404
Kiribati,1396540,10580,1385960,99.2424133931001,0.7575866068999098
"Korea, North",300,3600,-3300,-1100.0,1200.0
"Korea, South",8467888968,22441780,8445447188,99.73497786656382,0.2650221334361738
Kosovo,152691820,4646250,148045570,96.95710615015264,3.042893849847359
Kuwait,413219780,3848620,409371160,99.06862638569723,0.931373614302781
Kyrgyzstan,146035075,4493950,141541125,96.92269134658233,3.0773086534176803
Laos,92246655,646960,91599695,99.29866291628677,0.7013370837132251
Latvia,412014336,6879848,405134488,98.33019208341332,1.6698079165866693
Lebanon,695765599,14334972,681430627,97.93968370660994,2.060316293390067
Lesotho,19994674,909832,19084842,95.44962823599926,4.5503717640007535
Liberia,5024859,409102,4615757,91.85843821687335,8.141561783126651
Libya,308848756,8341420,300507336,97.29918938057824,2.7008106194217603
